Key,Type,Desc,English,Korean,Japanese,German,Spanish,Portuguese (Brazil),Vietnamese,Russian,Indonesian,Thai,French,$Arabic,Hindi,Turkish
Desserts,Text,,Desserts,디저트,デザート,Desserts,Postres,Sobremesas,Món tráng miệng,Десерты,Makanan penutup,ของหวาน,Desserts,حلويات,मिठाई,Tatlılar
Discount,Text,,Discount {[VALUE]}%,할인 {[VALUE]}%,割引 {[VALUE]}%,Rabatt {[VALUE]}%,Descuento {[VALUE]}%,Desconto {[VALUE]}%,Giảm giá {[VALUE]}%,Скидка {[VALUE]}%,Diskon {[VALUE]}%,ส่วนลด {[VALUE]}%,Réduction {[VALUE]}%,خصم {[VALUE]}%,छूट {[VALUE]}%,İndirim {[VALUE]}%
Do you want to continue?,Text,,Do you want to continue?,계속하시겠어요?,続けますか？,Möchtest du fortfahren?,¿Quieres continuar?,Deseja continuar?,Bạn muốn tiếp tục?,Хотите продолжить?,Ingin lanjut?,ต้องการเล่นต่อไหม?,Voulez-vous continuer ?,هل تريد المتابعة؟,क्या आप जारी रखना चाहेंगे?,Devam etmek istiyor musun?
Do you want to skip?,Text,,Do you want to skip?,건너뛰시겠습니까?,スキップしますか？,Möchten Sie überspringen?,¿Quieres omitir?,Você quer pular?,Bạn có muốn bỏ qua không?,Хотите пропустить?,Ingin lewati?,ต้องการข้ามไหม?,Tu veux passer ?,هل تريد التخطي؟,क्या आप स्किप करना चाहते हैं?,Atlamak istiyor musun?
Do you want to speed up the conveyor belt?,Text,,Do you want to speed up the conveyor belt?,컨베이어 벨트를 더 빠르게 하고 싶나요?,コンベアを速くしますか？,Möchtest du das Förderband beschleunigen?,¿Quieres acelerar la cinta transportadora?,Quer acelerar a esteira?,Bạn có muốn tăng tốc băng chuyền không?,Хочешь ускорить конвейер?,Ingin mempercepat ban berjalan?,ต้องการเร่งสายพานลำเลียงไหม?,Veux-tu accélérer le tapis roulant ?,هل تريد تسريع حزام النقل؟,क्या आप कन्वेयर बेल्ट को तेज़ करना चाहते हैं?,Konveyörü hızlandırmak ister misin?
Don't let the bomb EXPLODE!,Text,,Don't let the bomb EXPLODE!,폭탄이 폭발하지 않도록 하세요!,爆弾を爆発させるな！,Lass die Bombe nicht explodieren!,¡No dejes que la bomba EXPLOTE!,Não deixe a bomba EXPLODIR!,Đừng để bom NỔ!,Не дайте бомбе ВЗОРВАТЬСЯ!,Jangan biarkan bom MELEDAK!,อย่าให้ระเบิดทำงาน!,Ne laisse pas la bombe EXPLOSER !,لا تدع القنبلة تنفجر!,बम को फटने मत दो!,Bombanın PATLAMASINA izin verme!
Double Star,Text,,Double Star,더블 스타,ダブルスター,Doppelstern,Estrella doble,Estrela dupla,Nhân đôi sao,Двойная звезда,Bintang Ganda,ดาวคู่,Étoile double,نجمة مضاعفة,डबल स्टार,Çift Yıldız
Double stars next round!,Text,,Double stars next round!,다음 라운드에서 별 2배!,次のラウンドで星が2倍！,Doppelte Sterne in der nächsten Runde!,¡Dobla las estrellas en la siguiente ronda!,Estrelas dobradas na próxima rodada!,Nhân đôi sao ở lượt tiếp theo!,В следующем раунде — двойные звезды!,Bintang ganda di ronde berikutnya!,รอบถัดไปดาวคูณสอง!,Étoiles doublées au prochain tour !,نجوم مضاعفة في الجولة التالية!,अगले राउंड में डबल स्टार!,Sonraki turda yıldızları ikiye katla!
"Double the sausage, double the fun!",Text,,"Double the sausage, double the fun!",소시지가 두 배면 재미도 두 배!,ソーセージが2倍なら楽しさも2倍！,"Doppelte Wurst, doppelter Spaß!","¡Doble salchicha, doble diversión!","Duas salsichas, diversão em dobro!","Xúc xích gấp đôi, niềm vui gấp đôi!",Двойная сосиска — двойное веселье!,"Sosis dua kali, seru dua kali!",ไส้กรอกสองเท่า สนุกสองเท่า!,"Deux fois plus de saucisse, deux fois plus de fun !",ضعف النقانق، ضعف المتعة!,"दुगनी सॉसेज, दुगना मज़ा!","Sosis iki kat, eğlence iki kat!"
Drop Line,Text,,Drop Line,줄 내리기,ドロップライン,Linie fallen lassen,Línea de caída,Linha de queda,Xếp hàng ngang,Сбросить линию,Jatuhkan Garis,ดรอปแถว,Ligne de chute,إسقاط خط,ड्रॉप लाइन,Satır Bırak
Each energy gives you one move! You can earn energy by playing main levels!,Text,,Each energy gives you one move! You can earn energy by playing main levels!,에너지는 각각 한 번의 이동을 제공합니다! 메인 레벨을 플레이하여 에너지를 얻을 수 있습니다!,エネルギー1つにつき1回動けます！メインレベルをプレイしてエネルギーを獲得しましょう！,"Jede Energie gibt dir einen Zug! Du kannst Energie verdienen, indem du Hauptlevel spielst!",¡Cada energía te da un movimiento! ¡Puedes ganar energía jugando los niveles principales!,Cada energia lhe dá uma jogada! Você pode ganhar energia jogando os níveis principais!,Mỗi năng lượng cho bạn một lượt đi! Bạn có thể kiếm năng lượng bằng cách chơi các màn chính!,"Каждая единица энергии даёт один ход! Ты можешь заработать энергию, играя в основные уровни!",Setiap energi memberimu satu langkah! Kamu bisa mendapatkan energi dengan memainkan level utama!,พลังงานแต่ละหน่วยจะให้คุณเคลื่อนไหวได้หนึ่งครั้ง! คุณสามารถรับพลังงานได้โดยการเล่นด่านหลัก!,Chaque énergie vous donne un coup ! Vous pouvez gagner de l’énergie en jouant les niveaux principaux !,كل طاقة تمنحك حركة واحدة! يمكنك كسب الطاقة من خلال لعب المستويات الرئيسية!,प्रत्येक ऊर्जा आपको एक चाल देती है! आप मुख्य लेवल खेलकर ऊर्जा कमा सकते हैं!,Her enerji sana bir hamle kazandırır! Ana seviyeleri oynayarak enerji kazanabilirsin!
Earn awesome rewards,Text,,Earn awesome rewards,멋진 보상을 받으세요,素晴らしい報酬を獲得！,Verdiene tolle Belohnungen,¡Gana recompensas increíbles!,Ganhe recompensas incríveis,Nhận phần thưởng hấp dẫn,Получай классные награды,Dapatkan hadiah keren,รับรางวัลสุดเจ๋ง,Gagne des récompenses géniales,احصل على مكافآت رائعة,शानदार इनाम पाओ,Harika ödüller kazan
Earn x2 more mission items with every victory,Text,,Earn x2 more mission items with every victory,승리할 때마다 미션 아이템을 2배로 획득하세요,勝利するたびにミッションアイテムを2倍獲得！,Erhalte doppelte Missionsgegenstände bei jedem Sieg,Gana el doble de objetos de misión con cada victoria,Ganhe o dobro de itens de missão a cada vitória,Nhận gấp đôi vật phẩm nhiệm vụ sau mỗi chiến thắng,Получай в 2 раза больше предметов миссии за каждую победу,Dapatkan 2x item misi lebih banyak setiap kali menang,รับไอเท็มภารกิจเพิ่ม 2 เท่าทุกครั้งที่ชนะ,Gagne 2x plus d’objets de mission à chaque victoire,احصل على ضعف عناصر المهمة مع كل فوز,हर जीत पर मिशन आइटम्स 2 गुना कमाएं,Her galibiyetle 2 kat daha fazla görev eşyası kazan
Edit,Text,,Edit,편집,編集,Bearbeiten,Editar,Editar,Chỉnh sửa,Редактировать,Edit,แก้ไข,Éditer,تعديل,संपादित,Düzenle
Edit Profile,Text,,Edit Profile,프로필 편집,プロフィール編集,Profil bearbeiten,Editar perfil,Editar perfil,Sửa hồ sơ,Изменить профиль,Edit Profil,แก้ไขโปรไฟล์,Modifier le profil,تعديل الملف الشخصي,प्रोफ़ाइल संपादित करें,Profili Düzenle
Eliminate Octochef immediately!,Text,,Eliminate Octochef immediately!,즉시 옥토셰프를 제거하세요!,今すぐオクトシェフを倒せ！,Eliminiere den Oktopus-Chef sofort!,¡Elimina al Octochef de inmediato!,Elimine o Octochef imediatamente!,Loại bỏ Octochef ngay lập tức!,Устрани Октоповара немедленно!,Segera kalahkan Octochef!,กำจัด Octochef ทันที!,Élimine l’Octochef immédiatement !,اقضِ على أوكتوشيف فورًا!,ऑक्टोशेफ को तुरंत समाप्त करें!,Octochef’i hemen ortadan kaldır!
Empty Tray,Text,,Empty Tray,빈 쟁반,空のトレイ,Leeres Fach,Bandeja vacía,Bandeja vazia,Khay trống,Пустой лоток,Nampan Kosong,ถาดว่าง,Plateau vide,صينية فارغة,खाली ट्रे,Boş Tepsi
End in:,Text,,End in:,종료까지:,終了まで:,Endet in:,Termina en:,Termina em:,Kết thúc sau:,Закончится через:,Berakhir dalam:,สิ้นสุดใน:,Se termine dans :,ينتهي خلال:,खत्म होगा:,Bitiş:
Endless Treasure,Text,,Endless Treasure,끝없는 보물,無限の宝物,Endloser Schatz,Tesoro infinito,Tesouro infinito,Kho báu bất tận,Бесконечные сокровища,Harta Tanpa Akhir,ขุมทรัพย์ไม่รู้จบ,Trésor sans fin,كنز لا ينتهي,अनंत ख़जाना,Sonsuz Hazine
Enter team description,Text,,Enter team description,팀 설명 입력,チーム説明を入力,Team-Beschreibung eingeben,Ingresar descripción del equipo,Digite a descrição do time,Nhập mô tả đội,Введите описание команды,Masukkan deskripsi tim,ใส่คำอธิบายทีม,Entrer la description de l'équipe,أدخل وصف الفريق,टीम विवरण दर्ज करें,Takım açıklaması gir
Enter team name,Text,,Enter team name,팀 이름 입력,チーム名を入力,Teamnamen eingeben,Ingresar nombre de equipo,Digite o nome do time,Nhập tên đội,Введите название команды,Masukkan nama tim,ใส่ชื่อทีม,Entrer le nom de l'équipe,أدخل اسم الفريق,टीम का नाम दर्ज करें,Takım adını gir
Excellent!,Text,,Excellent!,훌륭해!,エクセレント！,Exzellent!,¡Excelente!,Excelente!,Xuất sắc!,Отлично!,Hebat!,เยี่ยมมาก!,Excellent !,ممتاز!,उत्कृष्ट!,Mükemmel!
Explorer s Gift,Text,,Explorer’s Gift,탐험가의 선물,探検家のギフト,Entdecker-Geschenk,Regalo del explorador,Presente do explorador,Quà của nhà thám hiểm,Подарок исследователя,Hadiah penjelajah,ของขวัญนักสำรวจ,Cadeau de l’explorateur,هدية المستكشف,खोजकर्ता का उपहार,Kaşifin Hediyesi
FREE lives,Text,,FREE lives,무료 생명,無料ライフ,Kostenlose Leben,Vidas gratis,Vidas grátis,Mạng miễn phí,Бесплатные жизни,Nyawa gratis,ชีวิตฟรี,Vies gratuites,أرواح مجانية,मुफ्त जीवन,Ücretsiz Canlar
FREE rewards,Text,,FREE rewards,무료 보상,無料報酬,Kostenlose Belohnungen,Recompensas gratis,Recompensas grátis,Phần thưởng miễn phí,Бесплатные награды,Hadiah gratis,รางวัลฟรี,Récompenses gratuites,مكافآت مجانية,मुफ्त इनाम,Ücretsiz Ödüller
Fading Dream,Text,,Fading Dream,사라지는 꿈,消えゆく夢,Verblassender Traum,Sueño que se desvanece,Sonho que se apaga,Giấc Mơ Phai Dần,Угасающая мечта,Mimpi Memudar,ความฝันที่เลือนหาย,Rêve évanescent,الحلم المتلاشي,मुरझाता सपना,Solan Rüya
"Fail to sort items within 2 moves, the ice will grow thicker.",Text,,"Fail to sort items within 2 moves, the ice will grow thicker.","2번 안에 아이템을 정리하지 않으면, 얼음이 두꺼워집니다.",2回以内にアイテムを整理できないと氷が厚くなります。,"Sortiere die Gegenstände nicht innerhalb von 2 Zügen, wird das Eis dicker.","Si no ordenas los objetos en 2 movimientos, el hielo se hará más grueso.","Se falhar em organizar os itens em 2 movimentos, o gelo ficará mais espesso.","Không sắp xếp xong trong 2 lượt, băng sẽ dày hơn.","Если не рассортируете предметы за 2 хода, лёд станет толще.","Gagal menyortir item dalam 2 langkah, es akan semakin tebal.",หากจัดไอเท็มไม่สำเร็จภายใน 2 ครั้ง น้ำแข็งจะหนาขึ้น,"Si tu n’ordonnes pas les objets en 2 coups, la glace va s’épaissir.",إذا لم ترتّب العناصر خلال حركتين، سيزداد سمك الجليد.,"यदि 2 चालों में आइटम सॉर्ट नहीं किए, तो बर्फ और मोटी हो जाएगी।","2 hamlede eşyaları sıralayamazsan, buz kalınlaşacak."
Fanpage,Text,,Fanpage,팬페이지,ファンページ,Fanseite,Página de fans,Página de fãs,Trang người hâm mộ,Фан-страница,Halaman penggemar,แฟนเพจ,Page de fans,صفحة المعجبين,फैनपेज,Hayran Sayfası
Feast Cruise,Text,,Feast Cruise,만찬 크루즈,フィーストクルーズ,Festmahlkreuzfahrt,Crucero del Banquete,Cruzeiro do Banquete,Đại tiệc du thuyền,Круиз с пиршеством,Pelayaran Pesta,ล่องเรือฉลองอาหาร,Croisière Festive,رحلة الوليمة البحرية,दावत क्रूज़,Ziyafet Turu
Fill the bar,Text,,Fill the bar,바를 채우세요,バーを満たそう,Fülle die Leiste,Llena la barra,Encha a barra,Làm đầy thanh,Заполни полосу,Isi bilah,เติมแถบให้เต็ม,Remplis la barre,املأ الشريط,बार भरें,Çubuğu doldur
Fill your Piggy Bank and save more coins by beating levels!,Text,,Fill your Piggy Bank and save more coins by beating levels!,저금통을 채우고 레벨을 클리어해 더 많은 코인을 모으세요!,レベルをクリアして貯金箱をいっぱいにし、もっとコインを貯めよう！,"Fülle dein Sparschwein und sammle mehr Münzen, indem du Level abschließt!",Llena tu alcancía y ahorra más monedas superando niveles!,Encha o seu cofrinho e economize mais moedas ao vencer níveis!,Lấp đầy Heo Đất và tiết kiệm nhiều xu hơn bằng cách vượt qua các màn chơi!,"Наполняйте копилку и копите больше монет, проходя уровни!",Isi celenganmu dan hemat lebih banyak koin dengan menaklukkan level!,เติมกระปุกออมสินและเก็บเหรียญเพิ่มด้วยการผ่านด่าน!,Remplis ta tirelire et économise plus de pièces en gagnant des niveaux !,املأ حصالتك وادخر المزيد من العملات بالفوز بالمراحل!,लेवल जीतकर गुल्लक भरें और ज्यादा सिक्के बचाएँ!,Seviyeleri geçerek kumbaranı doldur ve daha fazla jeton biriktir!
Finding players on your levels,Text,,Finding players on your levels,당신의 레벨과 같은 플레이어를 찾는 중,あなたと同じレベルのプレイヤーを検索中,Spieler auf deinem Level werden gesucht,Buscando jugadores en tus niveles,Procurando jogadores nos seus níveis,Đang tìm người chơi có cùng cấp độ với bạn,Поиск игроков на твоих уровнях,Mencari pemain di level yang sama denganmu,กำลังค้นหาผู้เล่นที่อยู่ในระดับเดียวกับคุณ,Recherche de joueurs à ton niveau,جارٍ العثور على لاعبين في نفس مستواك,आपके समान स्तर के खिलाड़ियों की खोज हो रही है,Senin seviyendeki oyuncular bulunuyor
Finish the customer's order before time run out,Text,,Finish the customer's order before time run out,시간이 끝나기 전에 고객 주문을 완료하세요,制限時間が切れる前にお客様の注文を完成させてください,"Fülle die Bestellung des Kunden ab, bevor die Zeit abläuft",Termina el pedido del cliente antes de que se acabe el tiempo,Finalize o pedido do cliente antes que o tempo acabe,Hoàn thành đơn hàng của khách trước khi hết thời gian,Выполните заказ клиента до окончания времени,Selesaikan pesanan pelanggan sebelum waktu habis,ทำออเดอร์ของลูกค้าให้เสร็จก่อนหมดเวลา,Termine la commande du client avant la fin du temps imparti,أكمل طلب الزبون قبل نفاد الوقت,समय खत्म होने से पहले ग्राहक का ऑर्डर पूरा करें,Süre dolmadan müşterinin siparişini tamamla
Finish the customer's order before time runs out,Text,,Finish the customer's order before time runs out,시간이 다 되기 전에 고객의 주문을 완료하세요,時間内にお客様の注文を完成させましょう,"Erledigen Sie die Bestellung des Kunden, bevor die Zeit abläuft",Completa el pedido del cliente antes de que se acabe el tiempo,Conclua o pedido do cliente antes que o tempo acabe,Hoàn thành đơn hàng của khách trước khi hết thời gian,Выполните заказ клиента до окончания времени,Selesaikan pesanan pelanggan sebelum waktu habis,ทำออเดอร์ของลูกค้าให้เสร็จก่อนหมดเวลา,Termine la commande du client avant la fin du temps imparti,أكمل طلب الزبون قبل نفاد الوقت,समय खत्म होने से पहले ग्राहक का ऑर्डर पूरा करें,Süre dolmadan müşterinin siparişini tamamla
Finish these stages,Text,,Finish these stages,이 단계를 완료하세요,これらのステージをクリアしよう,Schließe diese Stufen ab,Completa estos niveles,Termine essas fases,Hoàn thành các màn này,Заверши эти этапы,Selesaikan tahap ini,ผ่านด่านเหล่านี้ให้ได้,Termine ces niveaux,أكمل هذه المراحل,इन चरणों को पूरा करें,Bu aşamaları tamamla
Finished,Text,,Finished,완료,完了,Abgeschlossen,Completado,Concluído,Hoàn thành,Завершено,Selesai,เสร็จสิ้น,Terminé,منجز,पूरा हुआ,Tamamlandı
First Try Win,Text,,First Try Win,첫 시도 승리,一発クリア,Erster Versuch Sieg,Victoria al primer intento,Vitória na Primeira Tentativa,Thắng Ngay Lần Đầu,Победа с первой попытки,Menang di Percobaan Pertama,ชนะตั้งแต่ครั้งแรก,Victoire du premier essai,الفوز من المحاولة الأولى,पहली कोशिश में जीत,İlk Denemede Kazan
Fishing Rod,Text,,Fishing Rod,낚싯대,釣り竿,Angelrute,Caña de pescar,Vara de pescar,Cần câu,Удочка,Pancing,เบ็ดตกปลา,Canne à pêche,صنارة صيد,मछली पकड़ने की छड़ी,Olta
Fishing Ship,Text,,Fishing Ship,어선,漁船,Fischereischiff,Barco pesquero,Barco de pesca,Tàu cá,Рыболовецкое судно,Kapal nelayan,เรือประมง,Bateau de pêche,سفينة صيد,मछली पकड़ने की नाव,Balıkçı Gemisi
Flavor from the Heart,Text,,Flavor from the Heart,마음에서 우러나온 맛,心からの味わい,Geschmack aus dem Herzen,Sabor del corazón,Sabor do coração,Hương vị từ trái tim,Вкус от сердца,Rasa dari Hati,รสชาติจากหัวใจ,Saveur du cœur,نكهة من القلب,दिल से आने वाला स्वाद,Kalpten Gelen Lezzet
Font_normal,Material,,HVD Fonts  MikadoBlack SDF Material,KO_JALNANGOTHICTTF SDF Material,JP_FUTEHODO-MARUGOTHIC SDF Material,HVD Fonts  MikadoBlack SDF Material,HVD Fonts  MikadoBlack SDF Material,HVD Fonts  MikadoBlack SDF Material,HVD Fonts  MikadoBlack SDF Material,movavi-grotesque Material,HVD Fonts  MikadoBlack SDF Material,NOTOSANSTHAI-EXTRABOLD SDF Material,HVD Fonts  MikadoBlack SDF Material,AligarhArabicFREEPERSONALUSE-Black SDF Material,BakbakOne-Regular SDF Material,NOTOSANSTHAI-EXTRABOLD SDF Material
Food Explorer,Text,,Food Explorer,음식 탐험가,フードエクスプローラー,Essensentdecker,Explorador de comida,Explorador de Comidas,Nhà Khám Phá Ẩm Thực,Исследователь еды,Penjelajah Makanan,นักสำรวจอาหาร,Explorateur culinaire,مستكشف الطعام,भोजन खोजकर्ता,Yemek Kaşifi
Frame,Text,,Frame,프레임,フレーム,Rahmen,Marco,Moldura,Khung,Рамка,Bingkai,กรอบ,Cadre,إطار,फ्रेम,Çerçeve
Free,Text,,Free,무료,無料,Kostenlos,Gratis,Grátis,Miễn phí,Бесплатно,Gratis,ฟรี,Gratuit,مجاني,मुफ़्त,Ücretsiz
Free 1 Live,Text,,Free 1 Life,무료 생명 1개,ライフ1個無料,1 Leben gratis,1 vida gratis,1 vida grátis,Tặng 1 mạng miễn phí,1 жизнь бесплатно,Gratis 1 Nyawa,ฟรี 1 ชีวิต,1 vie gratuite,حياة واحدة مجانًا,1 अतिरिक्त जीवन मुफ्त,1 Ücretsiz Can
Free in,Text,,Free in,무료까지,無料まで,Kostenlos in,Gratis en,Grátis em,Miễn phí sau,Бесплатно через,Gratis dalam,ฟรีในอีก,Gratuit dans,مجاني خلال,मुफ़्त में,Ücretsiz içinde
Freeze,Text,,Freeze,얼기,フリーズ,Einfrieren,Congelar,Congelar,Đóng băng,Заморозка,Bekukan,แช่แข็ง,Gel,تجميد,फ्रीज़,Dondur
Freeze for 15 seconds!,Text,,Freeze for 10 seconds!,10초 동안 얼리기!,10秒間フリーズ！,Friere für 10 Sekunden!,¡Congela por 10 segundos!,Congele por 10 segundos!,Đóng băng trong 10 giây!,Заморозить на 10 секунд!,Bekukan selama 10 detik!,แช่แข็ง 10 วินาที!,Gèle pendant 10 secondes !,جمّد لمدة 10 ثانية!,10 सेकंड के लिए फ्रीज़ करें!,10 saniyeliğine dondur!
Freeze time for 30 seconds,Text,,Freeze time for 20 seconds,시간을 20초 동안 멈추기,時間を20秒間止める,Zeit für 20 Sekunden einfrieren,Congelar el tiempo durante 20 segundos,Congelar o tempo por 20 segundos,Đóng băng thời gian 20 giây,Заморозьте время на 20 секунд,Bekukan waktu selama 20 detik,หยุดเวลา 20 วินาที,Gèle le temps pendant 20 secondes,جمّد الوقت لمدة 20 ثانية,20 सेकंड के लिए समय फ्रीज़ करें,Zamanı 20 saniyeliğine dondur
Fried Chicken,Text,,Fried Chicken,프라이드 치킨,フライドチキン,Brathähnchen,Pollo frito,Frango frito,Gà rán,Жареная курица,Ayam goreng,ไก่ทอด,Poulet frit,دجاج مقلي,तला हुआ चिकन,Kızarmış Tavuk
Friends,Text,,Friends,친구,フレンド,Freunde,Amigos,Amigos,Bạn bè,Друзья,Teman,เพื่อน,Amis,الأصدقاء,दोस्त,Arkadaşlar
Fries,Text,,Fries,감자튀김,フライドポテト,Pommes,Papas fritas,Batata frita,Khoai tây chiên,Картофель фри,Kentang goreng,เฟรนช์ฟรายส์,Frites,بطاطا مقلية,फ्रेंच फ्राइज,Patates Kızartması
From,Text,,From,보낸 사람,送信者,Von,De,De,Người gửi,От,Dari,จาก,De,من,से,Gönderen
Frosty Haul,Text,,Frosty Haul,서리 하울,フロスティホール,Frostige Beute,Botín helado,Saque Gelado,Bộ Sưu Tập Băng Giá,Морозный набор,Hasil Beku,ของสะสมเย็นเยือก,Butin givré,الغنيمة المتجمدة,फ्रॉस्टी हॉल,Buzlu Paket
Frozen items can't be moved. Sort 3 in the same tray to melt!,Text,,Frozen items can't be moved. Sort 3 in the same tray to melt!,얼어있는 아이템은 움직일 수 없습니다. 같은 쟁반에 3개를 정리해 녹이세요!,凍ったアイテムは動かせません。同じトレイに3つ揃えて溶かそう！,"Gefrorene Gegenstände können nicht bewegt werden. Sortiere 3 in dasselbe Fach, um sie zu schmelzen!",Los objetos congelados no se pueden mover. Ordena 3 en la misma bandeja para derretirlos!,Os itens congelados não podem ser movidos. Organize 3 na mesma bandeja para derreter!,Đồ ăn bị đóng băng không thể di chuyển. Sắp xếp 3 đồ ăn giống nhau vào cùng khay để làm tan băng!,"Замороженные предметы нельзя перемещать. Соберите 3 на том же лотке, чтобы растопить!",Item beku tidak bisa dipindahkan. Susun 3 di baki yang sama untuk mencairkannya!,ไอเท็มที่แช่แข็งจะขยับไม่ได้ จัดให้ครบ 3 ชิ้นในถาดเดียวกันเพื่อให้ละลาย!,Les objets gelés ne peuvent pas être déplacés. Aligne 3 dans le même plateau pour les faire fondre !,العناصر المجمّدة لا يمكن تحريكها. رتّب 3 في الصينية نفسها لتذويبها!,जमे हुए आइटम हिलाए नहीं जा सकते। उसी ट्रे में 3 मिलाएँ ताकि पिघल जाएँ!,Donmuş eşyalar taşınamaz. Aynı tepside 3 tanesini eşleştirerek erit!
Fruit Bowl,Text,,Fruit Bowl,과일 그릇,フルーツボウル,Obstschale,Tazón de frutas,Tigela de frutas,Tô trái cây,Фруктовая миска,Mangkuk buah,ชามผลไม้,Saladier de fruits,سلطانية فواكه,फल का कटोरा,Meyve Kasesi
Fruit Skewer,Text,,Fruit Skewer,과일 꼬치,フルーツ串,Obstspieß,Brocheta de frutas,Espetinho de frutas,Xiên trái cây,Фруктовый шашлык,Sate buah,ไม้เสียบผลไม้,Brochette de fruits,سيخ فواكه,फल की सीख,Meyve Şişi
Full,Text,,Full,가득 참,満杯,Voll,Lleno,Cheio,Đầy,Полный,Penuh,เต็ม,Plein,ممتلئ,पूर्ण,Dolu
Full lives,Text,,Full lives,생명 가득,ライフ満タン,Volle Leben,Vidas completas,Vidas cheias,Đầy mạng,Полные жизни,Nyawa penuh,พลังชีวิตเต็ม,Vies pleines,أرواح كاملة,जिंदगियाँ पूरी हैं,Canlar dolu
Gamjatang,Text,,Gamjatang,감자탕,カムジャタン,Gamjatang,Sopa de cerdo con patatas,Ensopado de batata com porco,Canh xương khoai tây,Камчатан,Gamjatang,แกมจาทัง,Gamjatang,جامجاتانغ,गमजाटांग,Gamjatang
Garden Party,Text,,Garden Party,가든 파티,ガーデンパーティー,Gartenparty,Fiesta en el jardín,Festa no jardim,Bữa tiệc trong vườn,Садовая вечеринка,Pesta Kebun,ปาร์ตี้ในสวน,Fête au jardin,حفلة حديقة,गार्डन पार्टी,Bahçe Partisi
General Stats,Text,,General Stats,일반 통계,一般統計,Allgemeine Statistik,Estadísticas generales,Estatísticas gerais,Thống kê chung,Общая статистика,Statistik umum,สถิติทั่วไป,Statistiques générales,إحصاءات عامة,सामान्य आँकड़े,Genel İstatistikler
Get Rewards!,Text,,Get Rewards!,보상 받기!,報酬を獲得！,Belohnungen erhalten!,¡Obtén recompensas!,Ganhe recompensas!,Nhận thưởng!,Получи награды!,Dapatkan hadiah!,รับรางวัล!,Gagne des récompenses !,احصل على المكافآت!,इनाम पाओ!,Ödülleri Al!
Get amazing rewards,Text,,Get amazing rewards,멋진 보상 획득,素敵な報酬ゲット,Tolle Belohnungen erhalten,Obtén recompensas increíbles,Ganhe recompensas incríveis,Nhận phần thưởng hấp dẫn,Получай потрясающие награды,Dapatkan hadiah keren,รับรางวัลสุดพิเศษ,Obtiens des récompenses incroyables,احصل على مكافآت مذهلة,शानदार इनाम पाएं,Harika ödüller kazan
Get awesome rewards at a special price!,Text,,Get awesome rewards at a special price!,특별한 가격에 멋진 보상을 받으세요!,特別価格で素敵な報酬を手に入れよう！,Hol dir tolle Belohnungen zum Sonderpreis!,¡Obtén increíbles recompensas a un precio especial!,Ganhe recompensas incríveis por um preço especial!,Nhận phần thưởng tuyệt vời với giá đặc biệt!,Получай классные награды по специальной цене!,Dapatkan hadiah keren dengan harga spesial!,รับรางวัลสุดเจ๋งในราคาพิเศษ!,Obtiens des récompenses géniales à un prix spécial !,احصل على مكافآت رائعة بسعر خاص!,विशेष कीमत पर शानदार इनाम पाओ!,Özel fiyata harika ödüller kazan!
Get cards from card packs and frends to complete sets!,Text,,Get cards from card packs and frends to complete sets!,카드 팩과 친구에게서 카드를 받아 세트를 완성하세요!,カードパックや友達からカードをもらってセットを完成させよう！,"Hol dir Karten aus Packs und von Freunden, um Sets zu vervollständigen!",¡Consigue cartas de sobres y amigos para completar colecciones!,Ganhe cartas de pacotes e amigos para completar conjuntos!,Lấy thẻ từ gói và bạn bè để hoàn thành bộ sưu tập!,"Получайте карты из пакетов и от друзей, чтобы собрать наборы!",Dapatkan kartu dari paket dan teman untuk melengkapi set!,รับการ์ดจากซองและเพื่อนเพื่อให้ครบเซ็ต!,Obtenez des cartes des packs et des amis pour compléter les sets !,احصل على بطاقات من الحزم والأصدقاء لإكمال المجموعات!,पैक और दोस्तों से कार्ड पाओ और सेट पूरा करो!,Setleri tamamlamak için kart paketlerinden ve arkadaşlarından kart al!
Gift for your teammates,Text,,Gift for your teammates,팀원을 위한 선물,チームメイトへのギフト,Geschenk für deine Teamkollegen,Regalo para tus compañeros de equipo,Presente para seus companheiros de equipe,Quà cho đồng đội của bạn,Подарок для твоих товарищей по команде,Hadiah untuk rekan satu tim,ของขวัญสำหรับเพื่อนร่วมทีมของคุณ,Cadeau pour tes coéquipiers,هدية لزملائك في الفريق,अपने साथियों के लिए उपहार,Takım arkadaşların için hediye
Gold Team Offer,Text,,Gold Team Offer,골드 팀 오퍼,ゴールドチームオファー,Gold-Team-Angebot,Oferta de equipo de oro,Oferta da Equipe Ouro,Ưu đãi Đội Vàng,Предложение золотой команды,Penawaran Tim Emas,ข้อเสนอทีมทอง,Offre Équipe Or,عرض الفريق الذهبي,गोल्ड टीम ऑफ़र,Altın Takım Teklifi
Golden Sausage,Text,,Golden Sausage,황금 소시지,ゴールデンソーセージ,Goldene Wurst,Salchicha dorada,Salsicha dourada,Xúc xích vàng,Золотая сосиска,Sosis Emas,ไส้กรอกทองคำ,Saucisse dorée,نقانق ذهبية,गोल्डन सॉसेज,Altın Sosis
